# This file contains word-score pairings from the MRC Psycholinguistic Database.
# Words are scored on four attributes: Age of Aquisition, Concreteness, Familiarity, and Imagability

# Only words that have a Kucera-Francis written frequency of at least 38 are included, since
# the Database can only show a maximum of 5000 results per search

WORD                     AOA CNC FAM IMG
CONFUSED                   -   -   -   - 
CONFUSION                472 282 554 437 
CONGO                      -   -   -   - 
CONGREGATION               -   -   -   - 
CONGRESS                 575 384 389 356 
CONNECTION                 -   -   -   - 
CONSCIENCE               503 255 536 386 
CONSCIOUS                  -   - 571 354 
CONSIDER                   -   - 562 264 
CONSIDERABLE               - 302 542 297 
CONSIDERATION            494 260 500 318 
CONSTANT                   -   - 531 290 
CONSTITUTION             611 367 466 395 
CONSTRUCTION             517 464 466 410 
CONTACT                    - 456 543 449 
CONTAIN                    -   -   -   - 
CONTEMPORARY               -   -   -   - 
CONTENT                  389 300 553 391 
CONTINUE                   -   -   -   - 
CONTINUED                  -   - 623 281 
CONTINUOUS                 -   -   -   - 
CONTRACT                   - 467 509 457 
CONTRARY                   -   -   -   - 
CONTRAST                   -   -   -   - 
CONTRIBUTE                 -   -   -   - 
CONTROL                  411 311 559 347 
CONVENTIONAL               -   -   -   - 
CONVERSATION               -   -   -   - 
CONVICTION                 -   -   -   - 
COOK                       - 502 568 504 
COOL                       - 364 567 429 
COOLING                    -   -   -   - 
COPY                       -   -   -   - 
CORNER                     - 533 556 556 
CORPORATION              522 361 427 337 
CORPS                      - 438 433 408 
CORRECT                    -   -   -   - 
CORRESPONDING              -   -   -   - 
COST                       - 348 589 401 
COTTON                   306 608 521 562 
COULD                      -   - 622 210 
COULDN'T                   -   -   -   - 
COUNCIL                  464 435 508 405 
COUNT                      - 351 574 459 
COUNTRY                  329 465 592 539 
COUNTY                     -   -   -   - 
COUPLE                     -   -   -   - 
COURSE                     - 389 564 391 
COURT                      - 509 549 552 
COUSIN                   278 502 515 478 
COVER                    289 502 597 443 
COVERED                    -   -   -   - 
CREATE                     -   -   -   - 
CREATION                   -   -   -   - 
CREATIVE                   -   - 513 404 
CREDIT                     -   -   -   - 
CRISIS                     - 319 521 375 
CRITICAL                   -   - 517 305 
CRITICISM                561 316 518 333 
CROSS                      - 514 525 501 
CROWD                      - 546 523 548 
CRY                        - 436 566 478 
CUBA                       -   -   -   - 
CULTURAL                   -   -   -   - 
CULTURE                    - 351 523 339 
CUP                        - 539 595 558 
CURIOUS                    -   -   -   - 
CURRENT                    -   - 509 497 
CURVE                    364 447 521 520 
CUT                        - 430 581 460 
CUTTING                    -   -   -   - 
D                          -   -   -   - 
DAILY                      -   -   -   - 
DANCE                      - 502 550 510 
DANCING                    -   - 579 538 
DANGER                   300 338 557 505 
DANGEROUS                  -   -   -   - 
DARK                       - 497 598 586 
DARKNESS                 242 419 578 622 
DATA                       -   -   -   - 
DATE                     314 514 613 501 
DAUGHTER                   -   -   -   - 
DAY                        - 477 595 526 
DE                         -   -   -   - 
DEAD                       - 429 581 520 
DEAL                     381 342 522 383 
DEALING                    -   -   -   - 
DEAN                       -   -   -   - 
DEAR                       - 326 536 374 
DEATH                      - 365 581 498 
DECADE                     -   -   -   - 
DECEMBER                   -   -   -   - 
DECIDE                     -   -   -   - 
DECIDED                    -   -   -   - 
DECISION                 437 297 601 340 
DEEP                       - 400 542 498 
DEEPLY                     -   -   -   - 
DEFENSE                    -   -   -   - 
DEFINITION               567 262 519 224 
DEGREE                   508 406 574 521 
DEMAND                     -   -   -   - 
DEMOCRATIC                 -   -   -   - 
DENY                       -   -   -   - 
DEPARTMENT               494 447 596 426 
DEPEND                     -   -   -   - 
DEPENDENT                  -   -   -   - 
DEPTH                      -   -   -   - 
DESCRIBE                   -   - 610 315 
DESCRIPTION              469 341 556 326 
DESIGN                   403 444 538 407 
DESIGNED                   -   -   -   - 
DESIRE                     -   - 550 368 
DESK                       - 583 583 574 
DESPITE                    -   -   -   - 
DESTROY                    - 367 551 444 
DESTRUCTION              497 365 488 505 
DETAIL                     -   -   -   - 
DETECTIVE                377 505 509 524 
DETERMINATION              - 243 527 386 
DETERMINE                  -   - 539 295 
DEVELOP                    -   - 558 295 
DEVELOPMENT              483 316 536 356 
DEVICE                   472 444 500 391 
DEVOTED                    -   -   -   - 
DIAMETER                   -   -   -   - 
DICTIONARY                 -   -   -   - 
DID                        - 235 542 329 
DIDN'T                     -   -   -   - 
DIE                        - 358 569 499 
DIFFERENCE               378 270 592 293 
DIFFERENT                  -   - 558 329 
DIFFICULT                  -   -   -   - 
DIFFICULTY                 -   -   -   - 
DINNER                     - 542 621 570 
DIRECT                     -   -   -   - 
DIRECTION                381 336 562 399 
DIRECTLY                   -   -   -   - 
DIRECTOR                   -   -   -   - 
DIRT                       - 564 571 547 
DISCOVER                   -   -   -   - 
DISCOVERY                414 332 513 401 
DISCUSSION               522 341 541 381 
DISEASE                    - 504 580 487 
DISPLAY                  400 462 567 453 
DISTANCE                 344 353 594 432 
DISTINCT                   - 247 490 364 
DISTINCTION              511 265 492 314 
DISTINGUISHED              -   -   -   - 
DISTRIBUTION               -   -   -   - 
DISTRICT                   -   -   -   - 
DIVIDED                    -   -   -   - 
DIVISION                 417 332 518 404 
DO                         - 276 609 247 
DOCTOR                     - 575 573 600 
DOCTRINE                   -   -   -   - 
DOES                       -   - 629 210 
DOESN'T                    -   -   -   - 
DOG                      169 610 598 636 
DOING                      -   -   -   - 
DOLLAR                     - 575 611 611 
DOMESTIC                   -   -   -   - 
DOMINANT                   -   -   -   - 
DON'T                      -   -   -   - 
DONE                       - 271 567 346 
DOOR                     214 606 630 599 
DOUBLE                     -   -   -   - 
DOUBT                      -   -   -   - 
DOWN                       - 339 546 459 
DOZEN                    319 396 568 525 
DR                         -   -   -   - 
DRAMA                      - 375 534 482 
DRAMATIC                   -   -   -   - 
DRAW                       - 442 542 435 
DRAWING                    -   -   -   - 
DRAWN                      -   -   -   - 
DREAM                      - 386 553 485 
DRESS                    222 595 588 595 
DREW                       -   -   -   - 
DRINK                    211 549 628 553 
DRINKING                   -   -   -   - 
DRIVE                      -   -   -   - 
DRIVEN                     -   -   -   - 
DRIVER                   283 553 593 567 
DRIVING                    -   -   -   - 
DROP                       - 320 577 417 
DROPPED                    -   -   -   - 
DROVE                    406 447 432 353 
DRY                        -   - 615 429 
DUE                        -   -   -   - 
DURING                     -   -   -   - 
DUST                       - 550 558 549 
DUTY                       - 322 543 346 
E                          -   -   -   - 
EACH                       - 268 555 320 
EARLY                      -   - 575 376 
EARTH                    317 580 580 580 
EASE                     428 305 519 327 
EASILY                     -   -   -   - 
EAST                       - 363 574 497 
EASY                       - 288 607 321 
EAT                        - 486 529 563 
ECONOMIC                   -   -   -   - 
ECONOMY                    - 284 580 357 
EDGE                     308 465 569 495 
EDITOR                     -   -   -   - 
EDITORIAL                  -   -   -   - 
EDUCATION                408 320 585 416 
EDUCATIONAL                -   -   -   - 
EDWARD                     -   -   -   - 
EFFECT                   414 295 602 280 
EFFECTIVE                  -   -   -   - 
EFFICIENCY                 -   -   -   - 
EFFORT                   411 296 585 367 
EIGHT                    211 368 613 501 
EITHER                     -   -   -   - 
ELECTION                 528 343 535 435 
ELECTRIC                   -   -   -   - 
ELECTRICAL                 -   -   -   - 
ELECTRONIC                 -   -   -   - 
ELEMENT                    -   -   -   - 
ELEVEN                     -   -   -   - 
ELSE                       - 222 565 208 
ELSEWHERE                  -   -   -   - 
EM                         -   -   -   - 
EMERGENCY                381 334 558 487 
EMOTIONAL                  -   - 566 453 
EMPHASIS                   -   -   -   - 
EMPLOYMENT               492 424 531 435 
EMPTY                      - 374 556 479 
ENCOURAGE                  -   -   -   - 
END                        - 320 592 462 
ENDED                      -   -   -   - 
ENEMY                    367 434 523 497 
ENERGY                     -   -   -   - 
ENGAGED                    -   -   -   - 
ENGINE                     - 586 543 595 
